tool-or-class	classification	exit-semantics	representative-gate-path	coverage
mvnw	GATE_CRITICAL_EXECUTABLE	zero=completed gate; Maven test/contract failure=EVALUATED_FAILURE; prerequisite/launch failure=NOT_EVALUATED	root/target/offline/effective-POM/reproducibility commands	wrapper recursive matrix plus full regression
phase00-script	GATE_CRITICAL_EXECUTABLE	child exact status/result propagated	generator and architecture test invoke synchronous inventory wrapper; generator invokes sealer, comparator, cache and scope scripts	receipt token/exit negatives, child fault regressions and full generation
maven-wrapper-source-snapshot	GATE_CRITICAL_STATIC_CONTRACT	exact SHA-256 and complete shell-source inventory must match	checked-in mvnw and all build shell acceptance sources	verify-gate-tool-inventory plus mutation negative
maven-private-test-driver	GATE_CRITICAL_PRIVATE_TEST_HARNESS	positional fixture inputs are reachable only by direct test invocation; public mvnw has no selection path	system rc, executable, Maven home and conditional fault injection	public override attack matrix plus complete source snapshot
maven-3.9.14-launcher-contract	GATE_CRITICAL_STATIC_CONTRACT	exact f9381d0c... SHA-256 and classified external-command graph	MAVEN_HOME/bin/mvn before every launch	runtime pin verification plus static contract
MAVEN_BASEDIR	GATE_CRITICAL_STATIC_CONTRACT	non-empty value is an unnormalized official override; empty/unset uses cwd/-f ancestor fallback	jvm.config, MAVEN_PROJECTBASEDIR, maven.config and multiModuleProjectDirectory	pinned official A/B absolute/relative/nonexistent/file/fallback parity
maven-classworlds-inventory	GATE_CRITICAL_LAUNCHER_ACTUAL	missing or multiple launcher jars=NOT_EVALUATED	exactly one Maven 3.9.14 boot/plexus-classworlds-*.jar	actual-classworlds-missing and actual-classworlds-multiple
maven-launcher-config	GATE_CRITICAL_LAUNCHER_ACTUAL	missing/non-regular/symlink or digest mismatch=NOT_EVALUATED	Maven 3.9.14 bin/m2.conf Classworlds configuration	actual-maven-launcher-config-missing plus runtime SHA-256 pin
tail	ELIMINATED_EXTERNAL	no Phase 00 acceptance-path external invocation	report replay uses shell read/printf; tail helper removed	recursive static source snapshot
read,test,printf,cd,pwd,command,trap,set,shift,return,unset,export,exec,dot,kill	SHELL_BUILTIN_OR_KEYWORD	not an external executable	control flow, parsing, signaling, redirection, cleanup and controlled launcher sourcing	explicit classification
rm(cleanup)	NON_GATE_INFORMATIONAL	cleanup diagnostic does not replace an already-failing primary gate	trap-only private scratch cleanup	seal cleanup audit
